case_id	case_type	source_key	case_start_iso	expected_programme_start_iso	offset_seconds	duration_seconds	input_start_iso	input_offset_seconds	input_duration_seconds	window	purpose
news_section	news	main	2026-06-20T15:31:00+01:00	2026-06-20T15:00:00+01:00	1860	270	2026-06-20T15:31:00+01:00	1860	270	00:31:00-00:35:30	News-only listening fixture
music_section	music	main	2026-06-20T15:52:00+01:00	2026-06-20T15:00:00+01:00	3120	1200	2026-06-20T15:52:00+01:00	3120	1200	00:52:00-01:12:00	Music/non-news bed listening fixture
